Week Ending,Federal Provider Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Submitted Data,Passed Quality Assurance Check,Residents Weekly Admissions COVID-19,Residents Total Admissions COVID-19,Residents Weekly Confirmed COVID-19,Residents Total Confirmed COVID-19,Residents Weekly Suspected COVID-19,Residents Total Suspected COVID-19,Residents Weekly All Deaths,Residents Total All Deaths,Residents Weekly COVID-19 Deaths,Residents Total COVID-19 Deaths,Number of All Beds,Total Number of Occupied Beds,Resident Access to Testing in Facility,Laboratory Type Is State Health Dept,Laboratory Type Is Private Lab,Laboratory Type Is Other,Able to Test or Obtain Resources to Test All Current Residents Within Next 7 Days,Reason for Not Testing Residents - Lack of PPE for Personnel ,Reason for Not Testing Residents - Lack of Supplies,Reason for Not Testing Residents  - Lack of Access to Laboratory,Reason for Not Testing Residents - Lack of Access to Trained Personnel ,Reason for Not Testing Residents  - Uncertainty About Reimbursement,Reason for Not Testing Residents  - Other,During Past Two Weeks Average Time to Receive Resident Test Results,Has Facility Performed Resident Tests Since Last Report,Tested Residents with New Signs or Symptoms,Tested Asymptomatic Residents in a Unit or Section After a New Case,Tested Asymptomatic Residents Facility-Wide After a New Case,Tested Asymptomatic Residents Without Known Exposure as Surveillance,Tested Another Subgroup of Residents,Able to Test or Obtain Resources to Test All Staff and/or Personnel Within Next 7 Days,Reason for Not Testing Staff and/or Personnel - Lack of PPE for Personnel ,Reason for Not Testing Staff and/or Personnel - Lack of Supplies,Reason for Not Testing Staff and/or Personnel - Lack of Access to Laboratory,Reason for Not Testing Staff and/or Personnel  - Lack of Access to Trained Personnel ,Reason for Not Testing Staff and/or Personnel - Uncertainty About Reimbursement,Reason for Not Testing Staff and/or Personnel - Other,During Past Two Weeks Average Time to Receive Staff and/or Personnel Test Results,Has Facility Performed Staff and/or Personnel Tests Since Last Report,Tested Staff and/or Personnel with New Signs or Symptoms,Tested Asymptomatic Staff and/or Personnel in a Unit or Section After a New Case,Tested Asymptomatic Staff and/or Personnel Facility-Wide After a New Case,Tested Asymptomatic Staff and/or Personnel Without Known Exposure as Surveillance,Tested Another Subgroup of Staff and/or Personnel,In-House Point-of-Care Test Machine,COVID-19 Point-of-Care Tests Performed on Residents Since Last Report,COVID-19 Point-of-Care Tests Performed on Staff and/or Personnel Since Last Report,Enough Supplies to Test All Staff and/or Personnel Using Point-of-Care Test Machine,Staff Weekly Confirmed COVID-19,Staff Total Confirmed COVID-19,Staff Weekly Suspected COVID-19,Staff Total Suspected COVID-19,Staff Weekly COVID-19 Deaths,Staff Total COVID-19 Deaths,Shortage of Nursing Staff,Shortage of Clinical Staff,Shortage of Aides,Shortage of Other Staff,Any Current Supply of N95 Masks,One-Week Supply of N95 Masks,Any Current Supply of Surgical Masks,One-Week Supply of Surgical Masks,Any Current Supply of Eye Protection,One-Week Supply of Eye Protection,Any Current Supply of Gowns,One-Week Supply of Gowns,Any Current Supply of Gloves,One-Week Supply of Gloves,Any Current Supply of Hand Sanitizer,One-Week Supply of Hand Sanitizer,Ventilator Dependent Unit,Number of Ventilators in Facility,Number of Ventilators in Use for COVID-19,Any Current Supply of Ventilator Supplies,One-Week Supply of Ventilator Supplies,"Weekly Resident Confirmed COVID-19 Cases Per 1,000 Residents","Weekly Resident COVID-19 Deaths Per 1,000 Residents","Total Resident Confirmed COVID-19 Cases Per 1,000 Residents","Total Resident COVID-19 Deaths Per 1,000 Residents",Total Residents COVID-19 Deaths as a Percentage of Confirmed COVID-19 Cases,County,Three or More Confirmed COVID-19 Cases This Week,Initial Confirmed COVID-19 Case This Week,Geolocation
08/23/2020,345168,MACGREGOR DOWNS HEALTH AND REHABILITATION,2910 MACGREGOR DOWNS ROAD,GREENVILLE,NC,27834,Y,Y,0,0,0,0,0,0,0,23,0,0,152,123,,,,,Y,N,N,N,N,N,N,1-2 DAYS,N,N,N,N,N,N,Y,N,N,N,N,N,N,1-2 DAYS,N,N,N,N,N,N,N,,,,0,1,0,0,0,0,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0,0,0.0,0.0,,Pitt,N,N,POINT (-77.421291 35.61163)
08/23/2020,345063,ACCORDIUS HEALTH AT WILSON,1804 FOREST HILLS ROAD W,WILSON,NC,27893,Y,Y,0,1,3,6,0,0,0,0,0,0,110,60,,,,,Y,N,N,N,N,N,N,3-7 DAYS,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,3-7 DAYS,Y,N,N,N,N,N,,,,,0,0,0,0,0,0,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,50,0,100.0,0.0,0.0,Wilson,Y,N,POINT (-77.952126 35.722365)
08/23/2020,345170,CRYSTAL BLUFFS REHABILITATION AND HEALTH CARE CENT,4010 BRIDGES STREET EXTENSION,MOREHEAD CITY,NC,28557,Y,Y,0,0,0,1,0,13,0,8,0,0,92,77,,,,,Y,N,N,N,N,N,N,3-7 DAYS,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,3-7 DAYS,Y,N,N,N,Y,N,N,,,,1,1,0,2,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0,0,13.0,0.0,0.0,Carteret,N,N,
08/23/2020,345116,"CAROLINA PINES AT GREENSBORO, LLC",109 S HOLDEN RD,GREENSBORO,NC,27407,Y,Y,0,0,0,0,0,0,0,0,0,0,126,84,,,,,Y,N,N,N,N,N,N,3-7 DAYS,N,N,N,N,N,N,Y,N,N,N,N,N,N,3-7 DAYS,N,N,N,N,N,N,,,,,0,1,0,3,0,0,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0,0,0.0,0.0,,Guilford,N,N,POINT (-79.847646 36.07192)
08/23/2020,345254,MONROE REHABILITATION CENTER,1212 SUNSET DRIVE EAST,MONROE,NC,28112,Y,Y,0,18,0,4,0,0,1,5,0,0,152,96,,,,,Y,N,N,N,N,N,N,1-2 DAYS,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,1-2 DAYS,Y,N,N,N,Y,N,,,,,2,6,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0,0,41.7,0.0,0.0,Union,N,N,POINT (-80.528687 34.969658)
08/23/2020,345195,EDGECOMBE HEALTH AND REHAB CENTER,1000 WESTERN BOULEVARD,TARBORO,NC,27886,Y,Y,0,0,13,19,0,0,3,28,2,3,159,109,,,,,Y,N,N,N,N,N,N,1-2 DAYS,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,1-2 DAYS,Y,Y,N,N,N,N,N,,,,6,11,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,119.3,18.3,174.3,27.5,15.8,Edgecombe,Y,N,POINT (-77.557926 35.897338)
08/23/2020,345106,TRINITY RIDGE,2140 MEDICAL PARK DRIVE,HICKORY,NC,28602,Y,Y,0,3,0,17,0,13,0,14,0,6,120,101,,,,,Y,N,N,N,N,N,N,3-7 DAYS,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,3-7 DAYS,Y,N,N,N,Y,N,,,,,1,17,1,15,0,0,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,,,,,0,0,168.3,59.4,35.3,Catawba,N,N,POINT (-81.358157 35.688176)
08/23/2020,345110,AUTUMN CARE OF WAYNESVILLE,360 OLD BALSAM ROAD,WAYNESVILLE,NC,28786,Y,Y,0,0,0,0,0,1,0,13,0,0,90,79,,,,,Y,N,N,N,N,N,N,3-7 DAYS,N,N,N,N,N,N,Y,N,N,N,N,N,N,3-7 DAYS,N,N,N,N,N,N,N,,,,0,0,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0,0,0.0,0.0,,Haywood,N,N,POINT (-83.011072 35.460731)
08/23/2020,345315,HIGHLAND ACRES NURSING AND REHABILITATION CENTER,1170 LINKHAW ROAD,LUMBERTON,NC,28358,Y,Y,0,0,0,0,0,0,0,0,0,0,90,0,,,,,Y,N,N,N,N,N,N,N/A,N,N,N,N,N,N,Y,N,N,N,N,N,N,<1 DAY,N,N,N,N,N,N,N,,,,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,,,,,Robeson,N,N,POINT (-78.989713 34.644218)
08/23/2020,345144,PINE RIDGE HEALTH AND REHABILITATION CENTER,706 PINEYWOOD ROAD,THOMASVILLE,NC,27360,Y,Y,6,7,1,61,0,0,1,9,1,8,140,97,,,,,Y,N,N,N,N,N,N,1-2 DAYS,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,1-2 DAYS,Y,N,Y,N,N,N,N,,,,1,23,0,7,0,0,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,10.3,10.3,628.9,82.5,13.1,Davidson,N,N,POINT (-80.101692 35.895919)
08/23/2020,345213,UNIVERSAL HEALTH CARE LILLINGTON,1995 EAST CORNELIUS HARNETT BOULEVARD,LILLINGTON,NC,27546,Y,Y,0,53,0,145,0,9,0,45,0,33,129,107,,,,,Y,N,N,N,N,N,N,N/A,N,N,N,N,N,N,Y,N,N,N,N,N,N,3-7 DAYS,Y,N,N,N,Y,N,N,,,,0,35,0,0,0,0,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0,0,1355.1,308.4,22.8,Harnett,N,N,POINT (-78.770714 35.408489)
08/23/2020,345245,PENDER MEMORIAL HOSP SNF,507 E FREMONT STREET,BURGAW,NC,28425,Y,Y,0,1,0,0,0,0,0,7,0,0,42,32,,,,,Y,N,N,N,N,N,N,1-2 DAYS,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,1-2 DAYS,Y,N,N,N,Y,N,,,,,0,0,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0,0,0.0,0.0,,Pender,N,N,POINT (-77.920423 34.551263)
08/23/2020,345199,CAROL WOODS,750 WEAVER DAIRY ROAD,CHAPEL HILL,NC,27514,Y,Y,0,0,0,0,0,0,0,35,0,0,30,13,,,,,Y,N,N,N,N,N,N,N/A,N,N,N,N,N,N,Y,N,N,N,N,N,N,3-7 DAYS,N,N,N,N,N,N,N,,,,0,3,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0,0,0.0,0.0,,Orange,N,N,POINT (-79.037558 35.96236)
08/23/2020,345236,ACCORDIUS HEALTH AT WILMINGTON,820 WELLINGTON AVENUE,WILMINGTON,NC,28401,Y,Y,0,0,0,0,0,0,0,1,0,0,120,70,,,,,Y,N,N,N,N,N,N,3-7 DAYS,Y,N,N,N,N,N,Y,N,N,N,N,N,N,3-7 DAYS,N,N,N,N,N,N,,,,,0,4,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0,0,0.0,0.0,,New Hanover,N,N,POINT (-77.931362 34.195438)
