Provider Name,Federal Provider Number,Provider Address,Provider City,County,Residents Total Confirmed COVID-19,Residents Total Suspected COVID-19,Residents Total All Deaths,Residents Total COVID-19 Deaths,Total Number of Occupied Beds,Staff Total Confirmed COVID-19,Staff Total Suspected COVID-19,Staff Total COVID-19 Deaths
ROCK CREEK CARE CENTER,055446,260 RACETRACK STREET,AUBURN,Placer,0,0,7,0,62,1,3,0
REDLANDS HEALTHCARE CENTER,055001,1620 WEST FERN AVENUE,REDLANDS,San Bernardino,44,115,33,14,57,26,21,1
CLAREMONT CARE CENTER,055394,219 E. FOOTHILL BLVD,POMONA,Los Angeles,0,29,10,0,77,7,5,0
AVALON HEALTH CARE-MADERA,055191,1700 HOWARD ROAD,MADERA,Madera,46,15,15,11,36,37,11,0
COUNTRY VILLA TERRACE NRSG CTR,055119,6070 W. PICO BOULEVARD,LOS ANGELES,Los Angeles,6,4,2,0,43,36,9,1
PACIFIC GROVE HEALTHCARE CENTER,055356,200 LIGHTHOUSE AVENUE,PACIFIC GROVE,Monterey,0,0,0,0,46,0,0,0
WINDSOR MANOR REHABILITATION CENTER,055150,3806 CLAYTON ROAD,CONCORD,Contra Costa,14,6,0,0,144,7,2,0
ST PAULS TOWERS,055156,100 BAY PLACE,OAKLAND,Alameda,0,1,0,0,21,0,12,0
MARYCREST MANOR,055196,10664 ST. JAMES DRIVE,CULVER CITY,Los Angeles,1,0,0,0,48,3,0,0
ROYAL VISTA CARE CENTER,055105,909 W. SANTA ANITA AVE,SAN GABRIEL,Los Angeles,49,4,7,8,46,25,1,0
PALOMAR VISTA HEALTHCARE CENTER,055067,201 N FIG STREET,ESCONDIDO,San Diego,13,0,5,1,68,6,0,0
LOS BANOS NURSING & REHABILITATION CENTER,055028,931 IDAHO AVE.,LOS BANOS,Merced,0,129,6,0,31,2,18,0
VISTA PACIFICA CONVALESCENT HOSPITAL,055361,3662 PACIFIC AVENUE,RIVERSIDE,Riverside,4,0,4,0,49,12,0,0
PLEASANT HILL POST ACUTE,055049,1625 OAK PARK BOULEVARD,PLEASANT HILL,Contra Costa,29,20,12,6,43,18,2,0
LA SIERRA CARE CENTER,055271,2424 M STREET,MERCED,Merced,0,0,5,0,45,9,1,0
COUNTRY VILLA BELMONT HEIGHTS,055077,1730 GRAND AVE,LONG BEACH,Los Angeles,5,110,6,1,92,19,61,0
MOUNT SAN ANTONIO GARDENS,055016,900 E. HARRISON AVE,POMONA,Los Angeles,19,18,1,0,54,13,2,0
HOLLENBECK PALMS,055115,573 S. BOYLE AVE.,LOS ANGELES,Los Angeles,3,2,8,0,54,16,0,0
WINDSOR GARDENS CARE CENTER OF HAYWARD,055434,1628 B STREET,HAYWARD,Alameda,4,9,3,1,59,9,9,0
EDGEMOOR HOSPITAL,055008,655 PARK CENTER DRIVE,SANTEE,San Diego,1,0,8,0,187,17,0,0
WINDSOR ELK GROVE CARE AND REHABILITATION CENTER,055308,9461 BATEY AVENUE,ELK GROVE,Sacramento,88,16,13,12,85,49,6,1
THE VILLAS AT SARATOGA SKILLED NSG & ASSISTED LVG,055435,20400 SARATOGA-LOS GATOS RD,SARATOGA,Santa Clara,11,26,6,2,80,9,2,0
VALLEY VIEW POST ACUTE,055372,3111 SANTA ANITA AVE,EL MONTE,Los Angeles,35,1,18,12,63,18,7,0
