Provider Name,Federal Provider Number,Provider Address,Provider City,County,Residents Total Confirmed COVID-19,Residents Total Suspected COVID-19,Residents Total All Deaths,Residents Total COVID-19 Deaths,Total Number of Occupied Beds,Staff Total Confirmed COVID-19,Staff Total Suspected COVID-19,Staff Total COVID-19 Deaths
FRANKLIN COUNTY TRANSITIONAL CARE,135059,44 NORTH 100 EAST,PRESTON,Franklin,0,3,5,0,30,2,0,0
RIVERVIEW REHABILITATION,135139,3550 WEST AMERICANA TERRACE,BOISE,Ada,0,0,0,0,24,3,0,0
CLEARWATER HEALTH & REHABILITATION OF CASCADIA,135048,1204 SHRIVER ROAD,OROFINO,Clearwater,0,0,2,0,39,0,0,0
BRIDGEVIEW ESTATES,135113,1828 BRIDGEVIEW BOULEVARD,TWIN FALLS,Twin Falls,30,1,13,12,32,20,19,0
AVAMERE TRANSITIONAL CARE & REHAB - BOISE,135077,1001 SOUTH HILTON STREET,BOISE,Ada,27,4,14,2,50,22,1,0
ST LUKE'S ELMORE LONG TERM CARE,135006,895 NORTH 6TH EAST,MOUNTAIN HOME,Elmore,0,0,3,0,14,0,0,0
MADISON CARRIAGE COVE SHORT STAY REHABILITATION,135140,410 WEST 1ST NORTH,REXBURG,Madison,0,0,0,0,28,2,0,0
SYRINGA CHALET NURSING FACILITY,135111,700 EAST ALICE STREET,BLACKFOOT,Bingham,0,1,3,0,27,0,0,0
GATEWAY TRANSITIONAL CARE CENTER,135011,527 MEMORIAL DRIVE,POCATELLO,Bannock,0,1,4,0,80,2,10,0
LIFE CARE CENTER OF IDAHO FALLS,135091,2725 EAST 17TH STREET,IDAHO FALLS,Bonneville,0,3,16,0,67,5,5,0
MINI-CASSIA CARE CENTER,135081,1729 MILLER AVENUE,BURLEY,Cassia,47,20,2,1,50,40,26,0
COUNTRYSIDE CARE & REHABILITATION,135064,1224 EIGHTH STREET,RUPERT,Minidoka,7,1,20,5,26,13,9,0
CASCADIA OF BOISE,135146,6000 W DENTON ST,BOISE,Ada,11,0,12,0,57,15,0,0
CASCADIA OF NAMPA,135144,900 N HAPPY VALLEY RD,NAMPA,Ada,12,0,12,2,81,11,1,0
LACROSSE HEALTH & REHABILITATION CENTER,135042,210 WEST LACROSSE AVENUE,COEUR D'ALENE,Kootenai,47,0,5,5,62,52,38,0
LIFE CARE CENTER OF TREASURE VALLEY,135123,502 NORTH KIMBALL PLACE,BOISE,Ada,0,2,7,0,80,8,6,0
VALLEY VISTA CARE CENTER OF SANDPOINT,135055,220 SOUTH DIVISION,SANDPOINT,Bonner,0,1,3,0,58,9,63,0
OWYHEE HEALTH & REHABILITATION CENTER,135087,108 WEST OWYHEE,HOMEDALE,Owyhee,2,0,5,0,50,6,0,0
LIFE CARE CENTER OF SANDPOINT,135127,1125 NORTH DIVISION STREET,SANDPOINT,Bonner,4,0,0,0,69,4,1,0
MCCALL REHABILITATION AND CARE CENTER,135082,418 FLOYDE STREET,MCCALL,Valley,0,0,0,0,27,0,0,0
CALDWELL CARE OF CASCADIA,135014,210 CLEVELAND BOULEVARD,CALDWELL,Canyon,55,140,10,10,51,54,110,0
PARKE VIEW REHABILITATION & CARE CENTER,135068,2303 PARKE AVENUE,BURLEY,Cassia,1,1,3,0,63,9,6,0
MOUNTAIN VALLEY OF CASCADIA,135065,601 WEST CAMERON AVENUE,KELLOGG,Shoshone,61,7,22,8,53,28,7,0
CHERRY RIDGE OF CASCADIA,135095,501 WEST IDAHO BOULEVARD,EMMETT,Gem,15,0,5,3,4,25,1,0
IVY COURT,135053,2200 IRONWOOD PLACE,COEUR D'ALENE,Kootenai,51,21,16,13,47,16,26,0
IDAHO STATE VETERANS HOME - BOISE,135131,320 COLLINS ROAD,BOISE,Ada,2,0,13,1,90,10,12,0
LIFE CARE CENTER OF POST FALLS,135135,460 NORTH GARDEN PLAZA COURT,POST FALLS,Kootenai,0,9,0,0,73,8,9,0
GRANGEVILLE HEALTH & REHABILITATION CENTER,135080,410 EAST NORTH SECOND STREET,GRANGEVILLE,Idaho,0,0,9,0,42,0,0,0
COEUR D'ALENE HEALTH & REHABILITATION OF CASCADIA,135052,2514 NORTH SEVENTH STREET,COEUR D'ALENE,Kootenai,0,0,0,0,62,0,6,0
"TERRACES OF BOISE, THE",135141,5301 E WARM SPRINGS AVE,BOISE,Ada,3,1,8,1,25,12,0,0
MEADOW VIEW NURSING AND REHABILITATION,135076,46 NORTH MIDLAND BOULEVARD,NAMPA,Canyon,71,3,10,8,86,38,6,0
QUINN MEADOWS REHABILITATION AND CARE CENTER,135136,1033 WEST QUINN ROAD,POCATELLO,Bannock,0,0,20,0,38,3,5,0
TETON POST ACUTE CARE & REHABILITATION,135138,3111 CHANNING WAY,IDAHO FALLS,Bonneville,2,0,6,0,52,4,12,0
PRESTIGE CARE & REHABILITATION - THE ORCHARDS,135103,1014 BURRELL AVENUE,LEWISTON,Nez Perce,35,3,6,3,44,26,4,0
TWIN FALLS TRANSITIONAL CARE OF CASCADIA,135104,674 EASTLAND DRIVE,TWIN FALLS,Twin Falls,1,3,9,0,43,5,3,0
KARCHER POST-ACUTE & REHABILITATION CENTER,135110,1127 CALDWELL BOULEVARD,NAMPA,Canyon,16,8,0,0,44,22,26,0
GOOD SAMARITAN SOCIETY - BOISE VILLAGE,135085,3115 SYCAMORE DRIVE,BOISE,Ada,4,1,9,0,85,5,1,0
LINCOLN COUNTY CARE CENTER,135056,511 EAST FOURTH STREET,SHOSHONE,Lincoln,0,1,0,0,34,3,7,0
BEAR LAKE MEMORIAL SKILLED NURSING FACILITY,135070,164 SOUTH FIFTH STREET,MONTPELIER,Bear Lake,1,0,5,0,30,3,0,0
ADVANCED HEALTH CARE OF COEUR D'ALENE LLC,135142,1578 W RIVERSTONE DRIVE,COEUR D'ALENE,Kootenai,0,5,4,0,33,0,10,0
MERIDIAN MEADOWS TRANSITIONAL CARE,135147,2656 E MAGIC VIEW DRIVE,MERIDIAN,Ada,0,2,6,0,30,2,10,0
VALLEY VIEW NURSING & REHABILITATION,135098,1140 NORTH ALLUMBAUGH STREET,BOISE,Ada,50,53,22,7,68,31,52,0
GOOD SAMARITAN SOCIETY - SILVER WOOD VILLAGE,135058,405 WEST SEVENTH STREET,SILVERTON,Shoshone,0,0,3,0,39,9,0,0
CREEKSIDE TRANSITIONAL CARE AND REHABILITATION,135125,1351 WEST PINE AVENUE,MERIDIAN,Ada,30,3,22,5,109,16,10,0
LIFE CARE CENTER OF LEWISTON,135128,325 WARNER DRIVE,LEWISTON,Nez Perce,0,4,5,1,66,2,1,0
LEWISTON TRANSITIONAL CARE OF CASCADIA,135021,3315 8TH STREET,LEWISTON,Nez Perce,0,0,0,0,64,0,0,0
GOOD SAMARITAN SOCIETY - IDAHO FALLS VILLAGE,135092,840 EAST ELVA STREET,IDAHO FALLS,Bonneville,0,0,1,0,37,3,1,0
WEISER CARE OF CASCADIA,135010,331 EAST PARK STREET,WEISER,Washington,0,2,4,0,40,7,3,0
ROYAL PLAZA HEALTH & REHABILITATION,135116,2870 JUNIPER DRIVE,LEWISTON,Nez Perce,0,1,9,0,39,0,14,0
OAK CREEK REHABILITATION CENTER OF KIMBERLY,135084,500 POLK STREET EAST,KIMBERLY,Twin Falls,0,0,3,0,42,7,3,0
MONTE VISTA HILLS HEALTHCARE CENTER,135018,1071 RENEE AVENUE,POCATELLO,Bannock,1,0,14,0,50,3,4,0
