Provider Name,Federal Provider Number,Provider Address,Provider City,County,Residents Total Confirmed COVID-19,Residents Total Suspected COVID-19,Residents Total All Deaths,Residents Total COVID-19 Deaths,Total Number of Occupied Beds,Staff Total Confirmed COVID-19,Staff Total Suspected COVID-19,Staff Total COVID-19 Deaths
BRIDGEPORT HEALTH CARE CENTER,515194,1081 MAPLEWOOD DRIVE,BRIDGEPORT,Harrison,0,1,7,0,72,4,20,0
FAIRMONT HEALTHCARE AND REHABILITATION CENTER,515189,130 KAUFMAN DRIVE,FAIRMONT,Marion,0,0,23,0,103,0,0,0
STONERISE KEYSER,515122,135 SOUTHERN DRIVE,KEYSER,Mineral,0,9,28,0,112,3,28,0
JACKIE WITHROW HOSPITAL,51E109,105 SOUTH EISENHOWER DRIVE,BECKLEY,Raleigh,1,2,8,0,67,6,12,0
HERITAGE CENTER,515060,101-13TH STREET,HUNTINGTON,Cabell,3,7,36,0,146,5,18,0
CABELL HEALTH CARE CENTER,515192,30 HIDDEN BROOK WAY,CULLODEN,Cabell,0,0,12,0,85,3,0,0
NELLA'S INC,51A010,499 FERGUSON ROAD,ELKINS,Randolph,0,0,9,0,70,2,0,0
WILLOWS CENTER,515085,723 SUMMERS STREET,PARKERSBURG,Wood,7,26,24,0,90,10,39,0
LINCOLN NURSING AND REHABILITATION CENTER,515171,200 MONDAY DRIVE,HAMLIN,Lincoln,0,13,6,0,55,1,5,0
RAVENSWOOD VILLAGE,515177,200 RITCHIE AVENUE,RAVENSWOOD,Jackson,0,17,14,0,58,0,8,0
HOPEMONT HOSPITAL,51E148,150 HOPEMONT DRIVE,TERRA ALTA,Preston,0,10,2,0,49,3,13,0
SHENANDOAH CENTER,515167,50 MULBERRY TREE STREET,CHARLES TOWN,Jefferson,0,3,11,0,73,1,3,0
STONERISE PRINCETON,515028,1924 GLEN WOOD PARK ROAD,PRINCETON,Mercer,0,25,29,0,73,2,39,0
ELKINS REGIONAL CONVALESCENT CENTER,515025,1175 BEVERLY PIKE,ELKINS,Randolph,0,0,11,0,96,3,0,0
DUNBAR CENTER,515066,501 CALDWELL LANE,DUNBAR,Kanawha,12,15,17,0,111,12,13,0
STONERISE BECKLEY,515086,100 HEARTLAND DRIVE,BECKLEY,Raleigh,0,119,39,0,172,6,6,0
GLASGOW HEALTH AND REHABILITATION CENTER,515118,"120 MELROSE DRIVE, BOX 350",GLASGOW,Kanawha,53,0,42,7,60,34,0,0
STONERISE BERKELEY SPRINGS,515137,456 AUTUMN ACRES ROAD,BERKELEY SPRINGS,Morgan,0,19,26,0,82,0,4,0
WILLOW TREE HEALTHCARE CENTER,515156,1263 SOUTH GEORGE STREET,CHARLES TOWN,Jefferson,56,0,13,4,89,23,2,0
ROANE GENERAL HOSPITAL,515099,200 HOSPITAL DRIVE,SPENCER,Roane,1,0,0,0,30,1,0,0
ELDERCARE HEALTH AND REHABILITATION,515065,107 MILLER DRIVE,RIPLEY,Jackson,70,10,31,15,76,36,3,0
