Provider Name,Federal Provider Number,Provider Address,Provider City,County,Residents Total Confirmed COVID-19,Residents Total Suspected COVID-19,Residents Total All Deaths,Residents Total COVID-19 Deaths,Total Number of Occupied Beds,Staff Total Confirmed COVID-19,Staff Total Suspected COVID-19,Staff Total COVID-19 Deaths
CLAY COUNTY NURSING HOME,015124,83825 HIGHWAY 9   P O BOX 1270,ASHLAND,Clay,58,21,16,13,58,27,34,1
CROWNE HEALTH CARE OF SPRINGHILL,015426,3712 DAUPHIN ST,MOBILE,Mobile,2,0,3,0,22,5,0,0
CROWNE HEALTH CARE OF THOMASVILLE,015220,1425 MOSLEY DRIVE,THOMASVILLE,Clarke,4,1,7,0,66,14,0,0
"RIDGEWOOD HEALTH SERVICES, INC.",015315,201 OAKHILL ROAD,JASPER,Walker,13,1,24,1,78,23,0,0
GOODWATER HEALTHCARE CENTER,015204,16 JONES HILL ROAD,GOODWATER,Coosa,0,0,3,0,62,1,0,0
ARBOR WOODS HEALTH AND REHAB,015141,515 2ND AVENUE NORTHWEST,REFORM,Pickens,0,0,4,0,50,2,2,0
ALLEN HEALTH AND REHABILITATION,015098,735 SOUTH WASHINGTON AVENUE,MOBILE,Mobile,49,26,24,18,56,45,6,1
OAK PARK,015452,1365 GATEWOOD DRIVE,AUBURN,Lee,5,14,7,0,76,4,22,0
LITTLE SISTERS OF THE POOR SACRED HEART RESIDENCE,015168,1655 MCGILL AVENUE,MOBILE,Mobile,25,1,8,2,61,50,1,0
WILLOWBROOKE CT SKILLED CARE CTR AT MAGNOLIA TRACE,015450,ONE CROWN CIRCLE,HUNTSVILLE,Madison,4,0,7,1,41,8,0,0
DIVERSICARE OF RIVERCHASE,015145,2500 RIVERHAVEN DRIVE,BIRMINGHAM,Jefferson,62,26,16,13,96,39,11,0
BROWN NURSING HOME,015191,2334 WASHINGTON STREET,ALEXANDER CITY,Tallapoosa,2,8,5,0,66,1,17,0
BARFIELD HEALTH CARE,015225,22444 HIGHWAY 431,GUNTERSVILLE,Marshall,10,13,37,1,99,6,44,0
MOUNT ROYAL TOWERS,015455,300 ROYAL TOWER DRIVE,BIRMINGHAM,Jefferson,1,1,9,0,115,8,7,0
SOUTH HAMPTON NURSING & REHABILITATION CENTER,015448,213 WILSON MANN ROAD,OWENS CROSS ROADS,Madison,0,1,3,0,64,3,6,0
EAMC LANIER NURSING HOME,015045,4800 48TH STREET,VALLEY,Chambers,1,41,18,1,87,13,79,0
