Week Ending,Federal Provider Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Submitted Data,Passed Quality Assurance Check,Residents Weekly Admissions COVID-19,Residents Total Admissions COVID-19,Residents Weekly Confirmed COVID-19,Residents Total Confirmed COVID-19,Residents Weekly Suspected COVID-19,Residents Total Suspected COVID-19,Residents Weekly All Deaths,Residents Total All Deaths,Residents Weekly COVID-19 Deaths,Residents Total COVID-19 Deaths,Number of All Beds,Total Number of Occupied Beds,Resident Access to Testing in Facility,Laboratory Type Is State Health Dept,Laboratory Type Is Private Lab,Laboratory Type Is Other,Able to Test or Obtain Resources to Test All Current Residents Within Next 7 Days,Reason for Not Testing Residents - Lack of PPE for Personnel ,Reason for Not Testing Residents - Lack of Supplies,Reason for Not Testing Residents  - Lack of Access to Laboratory,Reason for Not Testing Residents - Lack of Access to Trained Personnel ,Reason for Not Testing Residents  - Uncertainty About Reimbursement,Reason for Not Testing Residents  - Other,During Past Two Weeks Average Time to Receive Resident Test Results,Has Facility Performed Resident Tests Since Last Report,Tested Residents with New Signs or Symptoms,Tested Asymptomatic Residents in a Unit or Section After a New Case,Tested Asymptomatic Residents Facility-Wide After a New Case,Tested Asymptomatic Residents Without Known Exposure as Surveillance,Tested Another Subgroup of Residents,Able to Test or Obtain Resources to Test All Staff and/or Personnel Within Next 7 Days,Reason for Not Testing Staff and/or Personnel - Lack of PPE for Personnel ,Reason for Not Testing Staff and/or Personnel - Lack of Supplies,Reason for Not Testing Staff and/or Personnel - Lack of Access to Laboratory,Reason for Not Testing Staff and/or Personnel  - Lack of Access to Trained Personnel ,Reason for Not Testing Staff and/or Personnel - Uncertainty About Reimbursement,Reason for Not Testing Staff and/or Personnel - Other,During Past Two Weeks Average Time to Receive Staff and/or Personnel Test Results,Has Facility Performed Staff and/or Personnel Tests Since Last Report,Tested Staff and/or Personnel with New Signs or Symptoms,Tested Asymptomatic Staff and/or Personnel in a Unit or Section After a New Case,Tested Asymptomatic Staff and/or Personnel Facility-Wide After a New Case,Tested Asymptomatic Staff and/or Personnel Without Known Exposure as Surveillance,Tested Another Subgroup of Staff and/or Personnel,In-House Point-of-Care Test Machine,COVID-19 Point-of-Care Tests Performed on Residents Since Last Report,COVID-19 Point-of-Care Tests Performed on Staff and/or Personnel Since Last Report,Enough Supplies to Test All Staff and/or Personnel Using Point-of-Care Test Machine,Staff Weekly Confirmed COVID-19,Staff Total Confirmed COVID-19,Staff Weekly Suspected COVID-19,Staff Total Suspected COVID-19,Staff Weekly COVID-19 Deaths,Staff Total COVID-19 Deaths,Shortage of Nursing Staff,Shortage of Clinical Staff,Shortage of Aides,Shortage of Other Staff,Any Current Supply of N95 Masks,One-Week Supply of N95 Masks,Any Current Supply of Surgical Masks,One-Week Supply of Surgical Masks,Any Current Supply of Eye Protection,One-Week Supply of Eye Protection,Any Current Supply of Gowns,One-Week Supply of Gowns,Any Current Supply of Gloves,One-Week Supply of Gloves,Any Current Supply of Hand Sanitizer,One-Week Supply of Hand Sanitizer,Ventilator Dependent Unit,Number of Ventilators in Facility,Number of Ventilators in Use for COVID-19,Any Current Supply of Ventilator Supplies,One-Week Supply of Ventilator Supplies,"Weekly Resident Confirmed COVID-19 Cases Per 1,000 Residents","Weekly Resident COVID-19 Deaths Per 1,000 Residents","Total Resident Confirmed COVID-19 Cases Per 1,000 Residents","Total Resident COVID-19 Deaths Per 1,000 Residents",Total Residents COVID-19 Deaths as a Percentage of Confirmed COVID-19 Cases,County,Three or More Confirmed COVID-19 Cases This Week,Initial Confirmed COVID-19 Case This Week,Geolocation,Reporting Interval
11/29/2020,525019,"DEERFIELD CARE CENTER, LLC",575 HOSPITAL RD,NEW RICHMOND,WI,54017,Y,Y,0,0,0,2,,0,2,16,0,0,46,40,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0,0,,5,13,0,6,0,0,N,N,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,N,Y,Y,N,,,,,0,0,50.0,0.0,0.0,St. Croix,N,N,POINT (-92.553217 45.117183),Week 28 - Nov 29
11/29/2020,525098,WAUNAKEE MANOR HEALTH CARE CENTER,801 KLEIN DR,WAUNAKEE,WI,53597,Y,Y,0,0,0,2,,18,0,6,0,0,62,62,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0,60,,1,8,0,13,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,20,0,Y,Y,0,0,32.3,0.0,0.0,Dane,N,N,POINT (-89.463613 43.184854),Week 28 - Nov 29
11/29/2020,525069,MAPLEWOOD CENTER,8615 W BELOIT RD,WEST ALLIS,WI,53227,Y,Y,0,16,1,54,,18,1,51,1,24,150,82,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0,0,,1,51,0,37,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,43,0,Y,Y,12.2,12.2,658.5,292.7,44.4,Milwaukee,N,N,POINT (-88.021123 42.989762),Week 28 - Nov 29
11/29/2020,525088,EDGEWATER HAVEN NURSING HOME,1351 WISCONSIN RIVER DR,PORT EDWARDS,WI,54469,Y,Y,0,0,0,1,,9,0,32,0,0,79,49,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0,3,,0,14,0,59,0,0,N,N,N,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,,,,,0,0,20.4,0.0,0.0,Wood,N,N,POINT (-89.861722 44.35730000000001),Week 28 - Nov 29
11/29/2020,525108,ALLIS CARE CENTER,9047 W GREENFIELD AVE,WEST ALLIS,WI,53214,Y,Y,0,63,0,5,,1,0,8,0,0,152,120,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0,3,,0,41,0,18,0,1,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,15,0,Y,Y,0,0,41.7,0.0,0.0,Milwaukee,N,N,POINT (-88.025786 43.016518),Week 28 - Nov 29
11/29/2020,525085,EASTCASTLE PL BRADFORD TER CONV CTR,2505 E BRADFORD AVE,MILWAUKEE,WI,53211,Y,Y,0,0,0,6,,12,0,4,0,3,40,25,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,40,110,,0,18,0,60,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0,0,240.0,120.0,50.0,Milwaukee,N,N,POINT (-87.879232 43.06372700000001),Week 28 - Nov 29
11/29/2020,525074,BELMONT NURSING AND REHAB CTR,110 BELMONT RD,MADISON,WI,53714,Y,Y,0,10,0,30,,12,0,6,0,0,83,76,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,76,100,,0,35,0,41,0,0,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0,0,394.7,0.0,0.0,Dane,N,N,POINT (-89.313364 43.095446),Week 28 - Nov 29
11/29/2020,525064,LINDENGROVE NEW BERLIN,13755 W FIELDPOINTE DR,NEW BERLIN,WI,53151,Y,Y,0,0,9,66,,6,4,11,2,9,131,67,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,41,265,,7,27,0,37,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,134.3,29.9,985.1,134.3,13.6,Waukesha,Y,N,POINT (-88.086245 42.989461),Week 28 - Nov 29
11/29/2020,525061,VILLA AT LINCOLN PARK (THE),1700 C A BECKER DR,RACINE,WI,53406,Y,Y,0,1,0,57,,0,0,3,0,3,122,59,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0,0,,1,35,0,0,0,0,N,N,N,N,Y,N,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,,,,,0,0,966.1,50.8,5.3,Racine,N,N,POINT (-87.847963 42.710324),Week 28 - Nov 29
11/29/2020,525413,WILLOWCREST HEALTH SERVICES,3821 S CHICAGO AVE,SOUTH MILWAUKEE,WI,53172,Y,Y,0,9,0,28,,29,0,19,0,3,135,81,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,8,28,,2,20,0,38,0,0,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,,,,,0,0,345.7,37.0,10.7,Milwaukee,N,N,POINT (-87.865559 42.90043),Week 28 - Nov 29
